question,reference_chunk_id
What condition does my item need to be in for a successful return?,amz_ret_001
When will Amazon issue my refund after I send the item back?,amz_ret_002
How long do I usually have to return something on Amazon?,amz_ret_003
I accidentally bought a Kindle book. Can I return it?,amz_ret_004
Are Apple products covered under the normal 30-day return policy?,amz_ret_005
Can I return an Amazon Renewed Premium item after several months?,amz_ret_007
Are personalized products refundable?,amz_ret_008
What should I do if a Final Sale item arrives damaged?,amz_ret_009
How do I begin a return request on Amazon?,amz_ret_010
Do I need the original packaging when sending something back?,amz_ret_011
Can I put items from different orders into the same return box?,amz_ret_012
Why was I charged for return shipping?,amz_fee_001
What happens if I miss the return deadline?,amz_fee_002
Can Amazon reduce my refund if the product is damaged?,amz_fee_003
Do opened video games have restocking fees?,amz_fee_004
Why did I only get part of my refund back?,amz_fee_005
How long does a refund to a debit card usually take?,amz_ref_002
What is an advanced refund?,amz_ref_003
My credit card expired. Where will my refund go?,amz_ref_004
Are gift return refunds sent back to the original buyer?,amz_ref_005
How can I see where my return is right now?,amz_track_001
Where do I find my refund details in Amazon?,amz_track_004
What does “Return Requested” mean in my return status?,amz_track_003
"If I return a gift, where does the refund go?",amz_track_005
Can I return medicine bought from Amazon Pharmacy?,amz_seg_001
Do Amazon Business purchases follow the same return rules?,amz_seg_002
"I bought something from a seller, not Amazon. Where does the return go?",amz_seg_004
Is there any protection if I have a problem with a third-party seller?,amz_seg_005
Can I return an Amazon order from Canada using UPS?,amz_int_001
Does Amazon offer DHL pickup for international returns?,amz_int_002
"If I pay for return shipping myself, will Amazon reimburse me?",amz_int_003
What counts as a bulky item return?,amz_int_004
Can I return just one item from a savings bundle?,amz_int_007
My replacement item hasn’t shipped yet. Is that normal?,amz_rep_001
Why did Amazon ask me for pictures of my damaged product?,amz_rep_002
Can I cancel an order that hasn’t shipped yet?,amz_can_001
What should I do if my shipped order can’t be canceled anymore?,amz_can_002
Can I change the delivery address after placing an order?,amz_ord_001
How do I permanently close my Amazon account?,amz_acc_001
Can I reopen my Amazon account after closing it?,amz_acc_002
How do I check my Amazon gift card balance?,amz_gc_001
I received a suspicious email pretending to be Amazon. What should I do?,amz_sec_001
How do I replace a damaged or defective item?,amz_rep_001
How do I return a gift I received from someone else?,amz_int_006
How can I track the refund Amazon already issued?,amz_track_004
My package arrived empty. What should I do?,missing_item_from_order_006
Can traffic cause my package to arrive late?,late_delivery_003
Can wrong address details delay delivery?,late_delivery_003
My Amazon delivery is late. What should I do?,late_delivery_002
My delivery date has passed. What should I do now?,late_delivery_002
What does it mean if my package status says shipped?,track_package_003
how can i see where my parcel is now,track_package_001
order says undeliverable will i get refund,undeliverable_package_002
Why is my tracking link not working?,missing_tracking_information_005
Only part of the product is missing. What should I do?,missing_item_from_order_004
My guaranteed delivery date was missed. Can I get a refund?,late_delivery_007
My box did not contain everything I ordered. What should I check?,missing_item_from_order_002
i got the box but one item is missing,missing_item_from_order_002
What if my third-party seller order arrived incomplete?,missing_item_from_order_003
What should I ask the hotel before ordering a package there?,hotel_delivery_002
Can I order to a hotel before I arrive?,hotel_delivery_002
Who is responsible after my package is delivered to the hotel?,hotel_delivery_003
Can the carrier help find a package that says delivered?,missing_package_delivered_006
What should I do if there is a delivery attempt notice?,missing_package_delivered_003
Should I check my delivery address if my package is missing?,missing_package_delivered_002
My address was wrong and package is undeliverable. What now?,undeliverable_package_003
empty amazon packet received what now,missing_item_from_order_006
why amazon delivery delayed again,late_delivery_003
My order is late. What should I do?,late_delivery_002
Where can I see the latest location of my Amazon order?,track_package_001
